Rank,Coin,MarketCap,Price,Volume
1,BTCBitcoin,139592229793,8127.99,5494600000
2,ETHEthereum,47051684875,466.07,1751300000
3,XRPXRP,17814919075,0.453125,223741000
4,BCHBitcoin Cash,14047595321,813.88,616574000
5,EOSEOS,7468052831,8.33,745339000
6,XLMStellar,5853955979,0.311921,138618000
7,LTCLitecoin,4852381384,84.25,357568000
8,ADACardano,4223571645,0.162902,110275000
9,MIOTAIOTA,2762739141,0.993959,51560700
10,USDTTether,2504550470,0.998967,3268760000
11,TRXTRON,2371271395,0.036066,230563000
12,XMRMonero,2272491014,139.73,30433700
13,NEONEO,2167230000,33.34,82344500
14,DASHDash,1999241607,243.28,121522000
15,ETCEthereum Classic,1738552006,16.82,191541000
16,XEMNEM,1581516000,0.175724,13715700
17,VENVeChain,1364564551,2.46,8013510
18,BNBBinance Coin,1302771713,13.64,69686500
19,XTZTezos,1264069271,2.08,2369640
20,ZECZcash,988020435,222.27,125737000
21,OMGOmiseGO,979421971,6.98,49824900
22,QTUMQtum,688367363,7.76,183677000
23,ZRX0x,592427032,1.1,30115300
24,ZILZilliqa,566100286,0.074717,34696700
25,BCNBytecoin,565283017,0.003074,4702050
26,BTGBitcoin Gold,545306420,31.8,17549200
27,LSKLisk,531990893,4.91,8211970
28,ICXICON,517123981,1.33,25346600
29,DCRDecred,511496017,62.75,3546570
30,BTSBitShares,510670362,0.193073,19270500
31,ONTOntology,505091952,3.34,38807600
32,AEAeternity,455906884,1.96,142517000
33,DGBDigiByte,435372486,0.041149,8872840
34,MKRMaker,428108808,640.66,176997
35,DOGEDogecoin,391772052,0.003393,6124070
36,STEEMSteem,386941039,1.45,38301200
37,SCSiacoin,369489361,0.010289,7745450
38,XVGVerge,357700135,0.023576,7101590
39,BTMBytom,357374952,0.356484,67517900
40,REPAugur,333535400,30.32,25359400
41,BCDBitcoin Diamond,316834492,2.06,3336520
42,BATBasic Attenti...,315486000,0.315486,10431600
43,NANONano,299863282,2.25,6532710
44,MITHMithril,294135161,0.824458,58474600
45,GNTGolem,285894404,0.298042,10555800
46,NPXSPundi X,284318350,0.00325,7545480
47,STRATStratis,274213846,2.77,53985100
48,WAVESWaves,263454000,2.63,10409500
49,KCSKuCoin Shares,252627494,2.78,336078
50,RHOCRChain,251928670,0.697948,303018
51,SNTStatus,239876716,0.069119,11725400
52,WTCWaltonchain,237587232,5.92,6076510
53,IOSTIOST,230639640,0.027457,101435000
54,HSRHshare,228623744,5.28,85320000
55,MAIDMaidSafeCoin,213316463,0.471363,2803480
56,PPTPopulous,208042930,5.62,4996820
57,WANWanchain,202683323,1.91,6174230
58,XINMixin,198364326,450.44,88592
59,DGDDigixDAO,188556200,94.28,324577
60,ELFaelf,180620250,0.722481,19469400
61,ARDRArdor,176000734,0.176177,5020100
62,KMDKomodo,170016193,1.57,2234860
63,HTHuobi Token,169168677,3.38,32977500
64,GXSGXChain,163845600,2.73,15039700
65,AIONAion,160068225,0.847957,3240200
66,BTCPBitcoin Private,152539166,7.44,377989
67,NASNebulas,151141445,3.32,20340600
68,LRCLoopring,149762692,0.261789,8835480
69,MOACMOAC,146508443,4.08,405035
70,CNXCryptonex,139830744,3.08,4567810
71,ZENZenCash,136801630,31.33,2025450
72,KINKin,135861659,0.00018,881978
73,EMCEmercoin,133520280,3.17,2006690
74,MONAMonaCoin,133230009,2.18,609604
75,MANADecentraland,132871255,0.126527,8502590
76,ARKArk,128465921,1.23,1664650
77,WAXWAX,127032412,0.136469,1743940
78,FUNFunFair,126235292,0.025192,1704680
79,RDDReddCoin,124215681,0.004312,3821570
80,KNCKyber Network,120703331,0.89988,25432000
81,PIVXPIVX,120578213,2.12,9212570
82,DCNDentacoin,120576466,0.000371,86099
83,MCOMCO,117164799,7.42,34544500
84,POWRPower Ledger,116370303,0.311354,18728200
85,BNTBancor,115697654,2.26,6338480
86,DROPDropil,115619487,0.005691,296984
87,LOOMLoom Network,112102611,0.190945,2766630
88,PAYXPaypex,108499286,1.59,56662
89,HOTHolo,105140669,0.000789,5143510
90,POLYPolymath,103781376,0.375448,4267960
91,CMTCyberMiles,102748177,0.147882,9378680
92,GASGas,102493079,10.12,3483610
93,NXTNxt,102204687,0.102307,2645260
94,NULSNuls,99472800,2.49,7124000
95,PAYTenX,97167027,0.889805,30392200
96,LINKChainLink,96452650,0.275579,2568940
97,BIXBibox Token,96036910,0.920401,54588700
98,ETNElectroneum,92663068,0.012348,542883
99,ENGEnigma,91135489,1.22,1735800
100,GBYTEByteball Bytes,90303327,136.24,68259
