date,title,votes,total_payout
2017-12-30,Do we get paid to post on Steemit?,83,56.61
2017-12-30,Culture Vulture Challenge,79,25.422
2017-12-29,Vote for the children of Syria this Christmas - Update,53,0
2017-12-29,"Are you ""cashing out"" or ""cashing in""?",70,62.561
2017-12-28,"SBD, What’s going on …",188,129.754
2017-12-28,2018 will be about Blockchain not just Bitcoin,82,23.77
2017-12-28,Steem - Account Activity,70,18.266
2017-12-25,1Year On ...,74,8.512
2017-12-24,Seven Day B&W Challenge #Day7,76,12.68
2017-12-24,Culture Vulture Weekly Recommendations & Happy Christmas,65,9.874
2017-12-23,Seven Day B&W Challenge #Day6,49,6.197
2017-12-22,Seven Day B&W Challenge #Day5,63,8.671
2017-12-22,Options Futures and Other Derivatives,62,7.742
2017-12-22,"Crypto, a bubble or a force that will change the world...",69,10.972
2017-12-21,Seven Day B&W Challenge #Day4,67,11.901
2017-12-21,Depleting the Reward Pool at What Cost ...,82,17.597
2017-12-20,Seven Day B&W Challenge #Day3,67,9.41
2017-12-20,Vote for The Children of Syria this Christmas on Steemit,128,40.08
2017-12-19,Seven Day B&W Challenge #Day2,66,7.408
2017-12-19,Time to get with the program...,55,12.321
2017-12-19,Check mate for Facebook...,71,12.282
2017-12-18,Seven Day B&W Challenge #Day1,66,13.098
2017-12-17,Culture Vulture Weekly Recommendations,47,13.089
2017-12-17,Culture Vulture Challenge - December Challenge,60,38.325
2017-12-16,The Irish Meaning of Christmas,48,9.492
2017-12-13,Steemit Meetups in November,53,21.707
2017-12-13,SteemChallenges.com needs help to get to the next level,50,51.634
2017-12-12,Steem Payout Patterns - December 2017,53,12.132
2017-12-11,Whats the big deal about Bitcoin Futures?,47,11.508
2017-12-10,SBD fuel for Challenges on Steemit,50,10.338
2017-12-10,Culture Vulture Weekly Recommendations,39,9.025
2017-12-08,How close is Steemit to hitting the mainstream?,61,9.59
2017-12-06,Killer Robots and Driverless Cars,112,8.712
2017-12-02,Culture Vulture Challenge November Results,66,25.584
2017-11-26,Culture Vulture Challenge - Update,74,15.323
2017-11-20,Culture Vulture Challenge - Update,66,9.738
2017-11-15,Steemit Meetups in October,56,7.069
2017-11-13,SteemFest² in Numbers,95,20.95
2017-11-12,Culture Vulture Challenge - November Challenge,59,7.149
2017-11-07,Reflections on SteemFest²,95,27.325
2017-11-01,Green Wednesdays,41,2.488
2017-11-01,Creamy & Delicious,29,1.226
2017-11-01,Culture Vulture Challenge October Results,53,4.942
2017-10-29,Culture Vulture Challenge - Update,46,6.836
2017-10-28,Meetup in Dublin,42,2.999
2017-10-28,Online Identity,55,6.49
2017-10-28,Meetup today in Dublin,45,4.664
2017-10-27,What does it take to go viral?,50,7.412
2017-10-22,Culture Vulture Challenge - Update,55,8.494
2017-10-22,SteemChallenges - Behind the Steem ... with @sweetpea,45,3.612
2017-10-16,Ever wondered how much has been paid out on Steemit posts since 2016?,41,10.16
2017-10-16,SteemChallenges - Behind the Steem ... with @runicar,39,4.227
2017-10-15,SteemChallenges Stats - Culture Vulture,29,3.537
2017-10-15,Culture Vulture Challenge - Update,48,3.951
2017-10-14,A Journey through Steemit Tags,35,2.403
